JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
"",,LQ,5*,5*,5,4,,5*,5,,,50.5,,• Liberal Studies (x 2)
JS4276,"Quantitative Finance and RiskManagement Science",UQ,5*,5,5**,5**,5*,5**,5**,5**,,57.75,Best 5,"• English (x 2)• Mathematics (x 2)• The best one subject of M1/M2, Chemistry, Physics orEconomics (x 1.5)"
"",,M,4,5,5**,4,5**,5**,5*,5*,,56.25,,
"",,LQ,5*,5,5**,4,5**,5*,5*,5,,54.75,,
"",,UQ,4,5*,5,3,,5*,5*,,,30.5,,
JS4725,,M,5,4,5,4,,5*,5,5,,29,Best 5,‐‐
"",,LQ,4,4,4,5,,5**,5*,,,29,,
JS4760,"Bachelor of Science inInterdisciplinary Data Analytics andX Double Major Programme",UQ,3,4,5*,4,5,5,5,,,31,Best 5,• Mathematics (x 1.5)
M,4,4,5*,5,5,4,4,,,29.5,,,,
LQ,5,5,4,4,4,4,4,4,,25,,,,
"",,UQ,5,4,5*,4,,5*,5*,4,,30.5,,
JS4329,,M,4,4,5,4,,5*,5,4,,26,Best 5,‐‐
"",,LQ,4,4,5,4,,5*,5,,,26,,
JS4331,"BA (Chinese Language Studies) andBEd (Chinese Language Education)",UQ,5**,3,4,5,,5**,5**,,,43.5,Best 5,"• Chinese (x 2)• Chinese must be included"
"",,M,5**,4,3,5*,,5*,5*,,,42,,
"",,LQ,5**,3,2,4,,5**,5*,,,39.5,,
"",,UQ,3,5**,5,2,5*,5,5,,,40.5,,
JS4343,,M,4,5**,3,4,,5*,4,4,,36,Best 5,
"",,LQ,5*,5*,4,5,,5,4,,,36,,
JS4361,"BEd in Mathematics andMathematics Education",UQ,5,4,5**,4,5*,5,5,,,53,Best 5,"• Mathematics (x 2)• M1 or M2 (x 2)• Chinese or English (x 1.5)• The best one subject of Physics, Economics or ICT (x 1.5)• Mathematics and M1/M2 must be included"
"",,M,4,4,5**,4,5*,5,5,,,50.75,,
"",,LQ,4,5,5**,4,5,5,5,,,50,,
"",,UQ,5,4,4,4,,5,4,3,,23,,
JS4372,BEd in Early Childhood Education,M,5,4,4,3,,4,4,4,,21.5,Best 5,‐‐
"",,LQ,4,4,5,3,4,3,3,,,20.5,,
"",,UQ,3,4,4,4,,5*,5,4,,34.75,,• Mathematics (x 1.5)
JS4386,,M,4,4,5,4,4,4,,,,29.25,Best 5,
"",,LQ,3,4,4,2,4,4,3,,,27.5,,• Liberal Studies (x 0.5)
"",,UQ,4,3,5,4,3,5,4,,,30,,• Mathematics (x 1.5)
JS4408,"Mechanical and AutomationEngineering",M,3,3,5*,4,,4,4,,,27.5,Best 5,• Physics (x 1.5)
